,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3
300,7123.324915,6115.490908,5177.580049,4244.951793,3751.43828,3066.913816,2425.531438,1214.044003,324.3985418,-149.6854756,-536.399919,-1187.422887,-2705.996738,-4970.737234,-6027.617691,-9556.509863,-12276.62871,-18174.34305
301,8017.113476,6546.892213,5569.059747,4742.890901,3871.250024,3397.011711,2759.763467,2138.032208,767.281478,3.202153222,-514.0419475,-958.1683259,-1627.705288,-3766.697963,-7054.533082,-10659.11537,-15331.64446,-21629.25016
302,9180.771105,7502.710348,6062.096341,5067.097883,4233.657234,3410.240847,2936.653431,2327.26558,1575.171144,-2238.695542,-3916.188939,-5024.486585,-5614.512958,-5993.138759,-8065.971362,-12107.87939,-16984.69362,-23052.59139
303,8906.642846,7777.802208,6310.444713,5018.103804,4069.478109,3311.232642,2598.706016,2089.098541,1521.912404,862.1435834,-3804.463251,-6052.99431,-8038.747619,-9130.998041,-9549.898378,-12251.523,-19250.95786,-80711.09662
304,9656.276391,8006.919868,6908.42867,5580.719177,4347.754993,3451.770086,2748.977952,2097.524857,1554.709165,1025.788064,416.2344211,-4836.520363,-7503.278385,-10046.69216,-11473.09215,-11803.76715,-14148.41505,-24358.16986
305,11284.19063,9508.273834,7867.627929,6762.619604,5476.514375,4236.177037,3309.438472,2604.941964,1988.174925,1439.930077,907.173683,335.1854816,-5870.150451,-9165.135389,-12235.34531,-13823.26245,-14729.0666,-18223.61745
306,12390.36628,10219.55546,8480.655748,6954.174795,5826.723146,4708.268397,3533.602973,2609.689642,1947.55812,1338.542976,684.4252816,234.7493912,-224.0528008,-7667.181076,-12240.00403,-19379.97739,-29518.17064,-29003.54477
307,12288.84337,10672.51733,8685.393297,7146.434773,5786.294699,4720.550421,3783.684572,2770.153456,1940.180632,1278.37894,760.0386092,23.30524556,-465.9223201,-806.9331784,-8738.927646,-13358.50456,-22307.74523,-33469.53179
308,14374.62171,11445.38257,9899.662478,7352.858166,4935.411718,3735.644287,2692.43497,1893.005244,931.8166161,-188.5175592,-802.9952249,-1217.122961,-1920.448993,-2103.608138,-2058.864259,-16124.08067,-22531.34805,-184081.7504
309,20056.68675,13308.58269,10458.1091,8915.117618,6143.918102,3739.55379,2750.119917,1686.656906,910.3879906,-110.3240208,-1389.22768,-2022.583563,-2399.103592,-3232.003655,-3105.63418,-2988.455632,-30486.63127,-61362.89928
310,25421.33542,19101.67755,12269.50539,9461.522669,8021.52457,5105.837807,2683.126808,1840.765172,762.7184432,9.558856109,-1434.825152,-3822.500439,-4525.504641,-4847.674225,-5882.369729,-5209.1627,-4620.055509,-34879.52742
311,31794.14384,25204.33788,18864.21351,11678.13829,8917.070025,7517.710007,4171.240664,1934.521916,1129.679155,22.18187962,-783.53214,-2524.431897,-5045.626972,-6515.117224,-7156.781132,-8766.263287,-7990.103113,-7186.026413
312,41129.61094,31417.56771,24861.41685,18544.88149,11153.53566,8445.563927,7083.949044,3807.989743,1755.638688,992.8991988,-68.67363649,-829.5567782,-2558.334719,-4836.383551,-6382.057862,-7396.347108,-9476.786455,-8506.781105
313,54748.06605,40405.78979,30569.97938,24093.62576,17715.48092,10334.5776,7687.748224,6396.781699,3331.557557,1445.24225,752.0406083,-234.3986422,-912.8979157,-2385.743115,-4327.92615,-5790.844539,-6161.551455,-7970.757593
314,61680.18907,51817.45633,38093.80748,28814.91765,22570.02957,16524.97546,9465.232491,6726.157443,3965.23232,284.1529683,-3931.511238,-11253.43928,-15809.86107,-21089.44954,-48979.83185,-106729.5474,-94787.88423,-99009.68953
315,67745.54848,59793.99818,50207.27711,36815.7309,27620.68642,21394.32117,15341.91855,7869.237966,5345.707418,2622.278809,-923.1897679,-5633.935745,-14989.03616,-31466.114,-43177.32275,-80527.95361,-269588.5164,-237882.5655
316,65580.6415,60019.59376,52827.24077,44108.31582,32538.18226,24198.44626,18506.18309,13174.79832,5339.302396,3408.443216,908.8733121,-3199.643296,-8658.353929,-17147.40439,-40996.13767,-80166.18689,-211786.0334,-1384594.622
317,69627.21243,61496.10977,56249.00586,49253.65305,41244.62361,30520.72475,22569.03803,17303.46337,12182.91957,2975.397031,1544.892415,-502.9988807,-5729.78444,-11891.66708,-19195.3019,-50584.77433,-89071.51945,-437061.2938
318,77899.66075,66378.80107,58704.61063,53628.28824,47004.92834,39240.44336,29038.84529,21367.0341,16325.85409,11416.11968,-432.9922625,-1169.947477,-2509.739575,-8781.458214,-14903.93367,-25089.37828,-96006.85818,-117465.4622
319,80857.35544,72565.75001,61689.5991,54472.56286,49498.53052,43644.98505,36248.92342,26732.30771,19495.03554,14855.1691,10290.6501,-7121.748755,-7299.772195,-7249.464702,-19167.01836,-67308.79848,-149663.0178,-189951.5892
320,91381.72763,77963.95171,69775.43946,59048.3213,52007.83669,47213.6108,41525.35578,34405.07604,25314.6641,18315.71812,13805.72249,9326.283687,-19906.99955,-20095.3203,-17255.22777,-48267.42773,-81287.08828,-118791.492
321,111680.5424,92374.43645,79237.56232,71236.9301,58102.47989,50374.90187,45755.88238,40326.50299,33364.21151,24675.6615,17788.36135,13273.77195,8785.903517,-26628.64091,-31841.21145,-24850.04366,-63871.16557,-150151.1563
322,129663.4462,104839.7662,85937.80272,73456.22287,65963.66623,52920.02698,45814.78776,41309.36375,36255.72521,29801.50485,21287.49872,15119.24463,11425.74238,7393.736443,-30744.47586,-59693.69634,-45946.63399,-133665.918
